비료염, EC (dSㆍm-1), NO3 (mmol/L), NH4, H2PO4, K, Ca, Mg, SO4, Fe (μmol/L), Cu, B, Mn, Zn, Mo
딸기(피), 1.7, 11.5, 1.0, 1.0, 5.5, 3.25, 1.25, 1.5, 20, 0.75, 25, 10, 7, 0.5
딸기(순), 1.5, 10.0, 0.5, 1.25, 5.25, 2.75, 1.125, 1.125, 20, 0.75, 20, 10, 4, 0.5
꽃상추(순), 2.6, 19.0, 1.25, 2.0, 9.0, 5.0, 1.5, 1.125, 40, 0.75, 30, 5, 4, 0.5
가지(암), 2.1, 15.5, 1.5, 1.25, 6.75, 3.25, 2.5, 1.5, 15, 0.75, 30, 10, 5, 0.5
가지(암-순), 1.7, 11.75, 1.0, 1.0, 6.5, 2.25, 1.5, 1.125, 15, 0.75, 20, 10, 5, 0.5
콩(암), 1.7, 12.0, 1.0, 1.25, 5.5, 3.25, 1.25, 1.125, 10, 0.5, 20, 10, 4, 0.5
주키니호박(암), 2.2, 16.0, 1.25, 1.25, 7.25, 3.625, 2.0, 1.25, 10, 0.75, 30, 10, 5, 0.5
오이(암), 2.2, 16.0, 1.25, 1.25, 8.0, 4.0, 1.375, 1.375, 15, 0.75, 25, 10, 5, 0.5 
오이(암-순), 1.7, 11.75, 1.0, 1.25, 6.5, 2.75, 1.0, 1.0, 15, 0.75, 25, 10, 5, 0.5 
순무양배추(순), 1.5, 10.5, 0.75, 1.0, 5.5, 2.5, 1.0, 0.875, 35, 0.5, 20, 10, 4, 0.5
멜론(암), 2.2, 16.25, 1.0, 1.25, 7.5, 4.75, 1.25, 1.5, 10, 0.5, 20, 10, 4, 0.5
채소육묘(암), 2.4, 16.75, 1.25, 1.25, 6.75, 4.5, 3.0, 2.5, 25, 1, 35, 10, 5, 0.5
파프리카(암), 2.2, 15.5, 1.25, 1.25, 6.5, 4.75, 1.5, 1.75, 15, 0.75, 30, 10, 5, 0.5
파프리카(암-순), 1.7, 12.75, 1.25, 1.0, 5.75, 3.25, 1.125, 1.0, 15, 0.75, 25, 10, 4, 0.5
상추(순), 2.6, 19.0, 1.25, 2.0, 11.0, 4.5, 1.0, 1.125, 40, 0.75, 30, 0, 4, 0.5
토마토(암), 2.6, 16.0, 1.2, 1.5, 9.5, 5.4, 2.4, 4.4, 15, 0.75, 30, 10, 5, 0.5
토마토(암-순), 1.0, 10.75, 1.0, 1.25, 6.5, 2.75, 1.0, 1.5, 15, 0.75, 20, 10, 4, 0.5
